filename,title,exposure_layer1,exposure_layer2,exposure_layer3,outcome_layer1,outcome_layer2,outcome_layer3,study_design,status
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged PM2.5 mass,biomarker,inflammation,vascular cell adhesion molecule-1 (VCAM-1),longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged PM2.5 black carbon,biomarker,blood pressure,systolic blood pressure,longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged PM2.5 black carbon,biomarker,blood pressure,diastolic blood pressure,longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged PM2.5 black carbon,biomarker,heart rate variability,standard deviation of normal-to-normal intervals (SDNN),longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged PM2.5 black carbon,biomarker,heart rate variability,logarithm of the LF:HF ratio,longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged PM2.5 black carbon,biomarker,repolarization,corrected QT interval,longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged PM2.5 black carbon,biomarker,blood lipids,low-density lipoprotein (LDL) cholesterol,longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged PM2.5 black carbon,biomarker,blood lipids,high-density lipoprotein (HDL) cholesterol,longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged PM2.5 black carbon,biomarker,blood lipids,triglycerides,longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged PM2.5 black carbon,biomarker,inflammation,C-reactive protein,longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged PM2.5 black carbon,biomarker,inflammation,intercellular adhesion molecule-1 (ICAM-1),longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged PM2.5 black carbon,biomarker,inflammation,vascular cell adhesion molecule-1 (VCAM-1),longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged particle number,biomarker,blood pressure,systolic blood pressure,longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged particle number,biomarker,blood pressure,diastolic blood pressure,longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged particle number,biomarker,heart rate variability,standard deviation of normal-to-normal intervals (SDNN),longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged particle number,biomarker,heart rate variability,logarithm of the LF:HF ratio,longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged particle number,biomarker,repolarization,corrected QT interval,longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged particle number,biomarker,blood lipids,low-density lipoprotein (LDL) cholesterol,longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged particle number,biomarker,blood lipids,high-density lipoprotein (HDL) cholesterol,longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged particle number,biomarker,blood lipids,triglycerides,longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged particle number,biomarker,inflammation,C-reactive protein,longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged particle number,biomarker,inflammation,intercellular adhesion molecule-1 (ICAM-1),longitudinal cohort study,success
"2016 - quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability,.pdf","Quantile Regression Analysis of the Distributional Effects of Air Pollution on Blood Pressure, Heart Rate Variability, Blood Lipids, and Biomarkers of Inflammation in Elderly American Men: The Normative Aging Study",chemical,air pollution,28-day averaged particle number,biomarker,inflammation,vascular cell adhesion molecule-1 (VCAM-1),longitudinal cohort study,success
2015 - lead exposure and tremor among older men the VA Normative Aging Study.pdf,Lead Exposure and Tremor among Older Men: The VA Normative Aging Study,chemical,biomarker,blood lead,disease,neurological,tremor score,prospective cohort study,success
2015 - lead exposure and tremor among older men the VA Normative Aging Study.pdf,Lead Exposure and Tremor among Older Men: The VA Normative Aging Study,chemical,biomarker,blood lead,disease,neurological,elevated tremor,prospective cohort study,success
2015 - lead exposure and tremor among older men the VA Normative Aging Study.pdf,Lead Exposure and Tremor among Older Men: The VA Normative Aging Study,chemical,biomarker,tibia bone lead,disease,neurological,tremor score,prospective cohort study,success
2015 - lead exposure and tremor among older men the VA Normative Aging Study.pdf,Lead Exposure and Tremor among Older Men: The VA Normative Aging Study,chemical,biomarker,tibia bone lead,disease,neurological,elevated tremor,prospective cohort study,success
2015 - lead exposure and tremor among older men the VA Normative Aging Study.pdf,Lead Exposure and Tremor among Older Men: The VA Normative Aging Study,chemical,biomarker,patella bone lead,disease,neurological,tremor score,prospective cohort study,success
2015 - lead exposure and tremor among older men the VA Normative Aging Study.pdf,Lead Exposure and Tremor among Older Men: The VA Normative Aging Study,chemical,biomarker,patella bone lead,disease,neurological,elevated tremor,prospective cohort study,success
"2017 - associations of cumulative pb exposure and longitudinal changes in mini-psychological factors status exam scores, global.pdf","Associations of cumulative Pb exposure and longitudinal changes in Mini-Mental Status Exam scores, global cognition and domains of cognition: The VA Normative Aging Study",chemical,biomarker,cumulative Pb exposure,psychosocial,cognitive function,Mini-Mental Status Exam (MMSE) score,longitudinal cohort study,success
"2017 - associations of cumulative pb exposure and longitudinal changes in mini-psychological factors status exam scores, global.pdf","Associations of cumulative Pb exposure and longitudinal changes in Mini-Mental Status Exam scores, global cognition and domains of cognition: The VA Normative Aging Study",chemical,biomarker,cumulative Pb exposure,psychosocial,cognitive function,global cognition summary score,longitudinal cohort study,success
"2017 - associations of cumulative pb exposure and longitudinal changes in mini-psychological factors status exam scores, global.pdf","Associations of cumulative Pb exposure and longitudinal changes in Mini-Mental Status Exam scores, global cognition and domains of cognition: The VA Normative Aging Study",chemical,biomarker,cumulative Pb exposure,psychosocial,cognitive function,Word List Total Recall,longitudinal cohort study,success
"2017 - associations of cumulative pb exposure and longitudinal changes in mini-psychological factors status exam scores, global.pdf","Associations of cumulative Pb exposure and longitudinal changes in Mini-Mental Status Exam scores, global cognition and domains of cognition: The VA Normative Aging Study",chemical,biomarker,cumulative Pb exposure,psychosocial,cognitive function,Word List Delayed Recall,longitudinal cohort study,success
"2017 - associations of cumulative pb exposure and longitudinal changes in mini-psychological factors status exam scores, global.pdf","Associations of cumulative Pb exposure and longitudinal changes in Mini-Mental Status Exam scores, global cognition and domains of cognition: The VA Normative Aging Study",chemical,biomarker,patella bone Pb,psychosocial,cognitive function,Mini-Mental Status Exam (MMSE) score,longitudinal cohort study,success
"2017 - associations of cumulative pb exposure and longitudinal changes in mini-psychological factors status exam scores, global.pdf","Associations of cumulative Pb exposure and longitudinal changes in Mini-Mental Status Exam scores, global cognition and domains of cognition: The VA Normative Aging Study",chemical,biomarker,patella bone Pb,psychosocial,cognitive function,global cognition summary score,longitudinal cohort study,success
"2017 - associations of cumulative pb exposure and longitudinal changes in mini-psychological factors status exam scores, global.pdf","Associations of cumulative Pb exposure and longitudinal changes in Mini-Mental Status Exam scores, global cognition and domains of cognition: The VA Normative Aging Study",chemical,biomarker,patella bone Pb,psychosocial,cognitive function,Word List Total Recall,longitudinal cohort study,success
"2017 - associations of cumulative pb exposure and longitudinal changes in mini-psychological factors status exam scores, global.pdf","Associations of cumulative Pb exposure and longitudinal changes in Mini-Mental Status Exam scores, global cognition and domains of cognition: The VA Normative Aging Study",chemical,biomarker,patella bone Pb,psychosocial,cognitive function,Word List Delayed Recall,longitudinal cohort study,success
"2017 - associations of cumulative pb exposure and longitudinal changes in mini-psychological factors status exam scores, global.pdf","Associations of cumulative Pb exposure and longitudinal changes in Mini-Mental Status Exam scores, global cognition and domains of cognition: The VA Normative Aging Study",chemical,biomarker,tibia bone Pb,psychosocial,cognitive function,Mini-Mental Status Exam (MMSE) score,longitudinal cohort study,success
"2017 - associations of cumulative pb exposure and longitudinal changes in mini-psychological factors status exam scores, global.pdf","Associations of cumulative Pb exposure and longitudinal changes in Mini-Mental Status Exam scores, global cognition and domains of cognition: The VA Normative Aging Study",chemical,biomarker,tibia bone Pb,psychosocial,cognitive function,global cognition summary score,longitudinal cohort study,success
"2017 - associations of cumulative pb exposure and longitudinal changes in mini-psychological factors status exam scores, global.pdf","Associations of cumulative Pb exposure and longitudinal changes in Mini-Mental Status Exam scores, global cognition and domains of cognition: The VA Normative Aging Study",chemical,biomarker,tibia bone Pb,psychosocial,cognitive function,Word List Total Recall,longitudinal cohort study,success
"2017 - associations of cumulative pb exposure and longitudinal changes in mini-psychological factors status exam scores, global.pdf","Associations of cumulative Pb exposure and longitudinal changes in Mini-Mental Status Exam scores, global cognition and domains of cognition: The VA Normative Aging Study",chemical,biomarker,tibia bone Pb,psychosocial,cognitive function,Word List Delayed Recall,longitudinal cohort study,success
2020 - metabolomic signatures of lead exposure in the VA Normative Aging Study.pdf,Metabolomic signatures of lead exposure in the VA Normative Aging Study,chemical,heavy metal,blood lead levels,biomarker,metabolomics,plasma metabolomic signatures,observational cohort study,success
2020 - metabolomic signatures of lead exposure in the VA Normative Aging Study.pdf,Metabolomic signatures of lead exposure in the VA Normative Aging Study,chemical,heavy metal,toenail lead levels,biomarker,metabolomics,plasma metabolomic signatures,observational cohort study,success
2020 - biomarkers of aging and lung function in the Normative Aging Study.pdf,Biomarkers of aging and lung function in the normative aging study,biomarker,epigenetic,GrimAgeAccel,disease,lung function,forced expiratory volume in 1 second (FEV1),repeated-measures analysis using linear mixed-effect models,success
2020 - biomarkers of aging and lung function in the Normative Aging Study.pdf,Biomarkers of aging and lung function in the normative aging study,biomarker,epigenetic,GrimAgeAccel,disease,lung function,forced expiratory volume in 1 second / forced vital capacity (FEV1/FVC),repeated-measures analysis using linear mixed-effect models,success
2020 - biomarkers of aging and lung function in the Normative Aging Study.pdf,Biomarkers of aging and lung function in the normative aging study,biomarker,epigenetic,GrimAgeAccel,disease,lung function,maximum mid-expiratory flow (MMEF),repeated-measures analysis using linear mixed-effect models,success
2020 - biomarkers of aging and lung function in the Normative Aging Study.pdf,Biomarkers of aging and lung function in the normative aging study,biomarker,epigenetic,PhenoAgeAccel,disease,lung function,forced expiratory volume in 1 second (FEV1),repeated-measures analysis using linear mixed-effect models,success
2020 - biomarkers of aging and lung function in the Normative Aging Study.pdf,Biomarkers of aging and lung function in the normative aging study,biomarker,epigenetic,PhenoAgeAccel,disease,lung function,forced expiratory volume in 1 second / forced vital capacity (FEV1/FVC),repeated-measures analysis using linear mixed-effect models,success
2020 - biomarkers of aging and lung function in the Normative Aging Study.pdf,Biomarkers of aging and lung function in the normative aging study,biomarker,epigenetic,PhenoAgeAccel,disease,lung function,maximum mid-expiratory flow (MMEF),repeated-measures analysis using linear mixed-effect models,success
2020 - biomarkers of aging and lung function in the Normative Aging Study.pdf,Biomarkers of aging and lung function in the normative aging study,biomarker,epigenetic,Zhang’s DNAmRiskScore,disease,lung function,forced expiratory volume in 1 second (FEV1),repeated-measures analysis using linear mixed-effect models,success
2020 - biomarkers of aging and lung function in the Normative Aging Study.pdf,Biomarkers of aging and lung function in the normative aging study,biomarker,epigenetic,Zhang’s DNAmRiskScore,disease,lung function,forced expiratory volume in 1 second / forced vital capacity (FEV1/FVC),repeated-measures analysis using linear mixed-effect models,success
2020 - biomarkers of aging and lung function in the Normative Aging Study.pdf,Biomarkers of aging and lung function in the normative aging study,biomarker,epigenetic,Zhang’s DNAmRiskScore,disease,lung function,maximum mid-expiratory flow (MMEF),repeated-measures analysis using linear mixed-effect models,success
2020 - biomarkers of aging and lung function in the Normative Aging Study.pdf,Biomarkers of aging and lung function in the normative aging study,biomarker,epigenetic,intrinsic epigenetic age acceleration (IEAA),disease,lung function,forced expiratory volume in 1 second (FEV1),repeated-measures analysis using linear mixed-effect models,success
2020 - biomarkers of aging and lung function in the Normative Aging Study.pdf,Biomarkers of aging and lung function in the normative aging study,biomarker,epigenetic,intrinsic epigenetic age acceleration (IEAA),disease,lung function,forced expiratory volume in 1 second / forced vital capacity (FEV1/FVC),repeated-measures analysis using linear mixed-effect models,success
2020 - biomarkers of aging and lung function in the Normative Aging Study.pdf,Biomarkers of aging and lung function in the normative aging study,biomarker,epigenetic,intrinsic epigenetic age acceleration (IEAA),disease,lung function,maximum mid-expiratory flow (MMEF),repeated-measures analysis using linear mixed-effect models,success
2020 - biomarkers of aging and lung function in the Normative Aging Study.pdf,Biomarkers of aging and lung function in the normative aging study,biomarker,epigenetic,extrinsic epigenetic age acceleration (EEAA),disease,lung function,forced expiratory volume in 1 second (FEV1),repeated-measures analysis using linear mixed-effect models,success
2020 - biomarkers of aging and lung function in the Normative Aging Study.pdf,Biomarkers of aging and lung function in the normative aging study,biomarker,epigenetic,extrinsic epigenetic age acceleration (EEAA),disease,lung function,forced expiratory volume in 1 second / forced vital capacity (FEV1/FVC),repeated-measures analysis using linear mixed-effect models,success
2020 - biomarkers of aging and lung function in the Normative Aging Study.pdf,Biomarkers of aging and lung function in the normative aging study,biomarker,epigenetic,extrinsic epigenetic age acceleration (EEAA),disease,lung function,maximum mid-expiratory flow (MMEF),repeated-measures analysis using linear mixed-effect models,success
2020 - biomarkers of aging and lung function in the Normative Aging Study.pdf,Biomarkers of aging and lung function in the normative aging study,biomarker,non-epigenetic,telomere length (TL),disease,lung function,forced expiratory volume in 1 second (FEV1),repeated-measures analysis using linear mixed-effect models,success
2020 - biomarkers of aging and lung function in the Normative Aging Study.pdf,Biomarkers of aging and lung function in the normative aging study,biomarker,non-epigenetic,telomere length (TL),disease,lung function,forced expiratory volume in 1 second / forced vital capacity (FEV1/FVC),repeated-measures analysis using linear mixed-effect models,success
2020 - biomarkers of aging and lung function in the Normative Aging Study.pdf,Biomarkers of aging and lung function in the normative aging study,biomarker,non-epigenetic,telomere length (TL),disease,lung function,maximum mid-expiratory flow (MMEF),repeated-measures analysis using linear mixed-effect models,success
2020 - biomarkers of aging and lung function in the Normative Aging Study.pdf,Biomarkers of aging and lung function in the normative aging study,biomarker,non-epigenetic,mitochondrial DNA copy number (mtDNA-CN),disease,lung function,forced expiratory volume in 1 second (FEV1),repeated-measures analysis using linear mixed-effect models,success
2020 - biomarkers of aging and lung function in the Normative Aging Study.pdf,Biomarkers of aging and lung function in the normative aging study,biomarker,non-epigenetic,mitochondrial DNA copy number (mtDNA-CN),disease,lung function,forced expiratory volume in 1 second / forced vital capacity (FEV1/FVC),repeated-measures analysis using linear mixed-effect models,success
2020 - biomarkers of aging and lung function in the Normative Aging Study.pdf,Biomarkers of aging and lung function in the normative aging study,biomarker,non-epigenetic,mitochondrial DNA copy number (mtDNA-CN),disease,lung function,maximum mid-expiratory flow (MMEF),repeated-measures analysis using linear mixed-effect models,success
2013 - allergen sensitization is associated with increased DNA methylation in older men.pdf,Allergen sensitization is associated with increased DNA methylation in older men,disease,allergic disease,allergen sensitization,biomarker,DNA methylation,Alu methylation,longitudinal cohort study,success
2013 - allergen sensitization is associated with increased DNA methylation in older men.pdf,Allergen sensitization is associated with increased DNA methylation in older men,disease,allergic disease,allergen sensitization,biomarker,DNA methylation,LINE-1 methylation,longitudinal cohort study,success
2013 - allergen sensitization is associated with increased DNA methylation in older men.pdf,Allergen sensitization is associated with increased DNA methylation in older men,disease,respiratory disease,asthma,biomarker,DNA methylation,Alu methylation,longitudinal cohort study,success
2013 - allergen sensitization is associated with increased DNA methylation in older men.pdf,Allergen sensitization is associated with increased DNA methylation in older men,disease,respiratory disease,asthma,biomarker,DNA methylation,LINE-1 methylation,longitudinal cohort study,success
"2016 - jump, hop, or skip modeling practice effects in studies of determinants of cognitive change in older adults.pdf","Jump, Hop, or Skip: Modeling Practice Effects in Studies of Determinants of Cognitive Change in Older Adults",disease,chronic disease,diabetes,cognitive function,memory,verbal episodic memory,longitudinal cohort study,success
"2016 - jump, hop, or skip modeling practice effects in studies of determinants of cognitive change in older adults.pdf","Jump, Hop, or Skip: Modeling Practice Effects in Studies of Determinants of Cognitive Change in Older Adults",disease,chronic disease,diabetes,cognitive function,language,semantic verbal fluency,longitudinal cohort study,success
"2016 - jump, hop, or skip modeling practice effects in studies of determinants of cognitive change in older adults.pdf","Jump, Hop, or Skip: Modeling Practice Effects in Studies of Determinants of Cognitive Change in Older Adults",psychosocial,mental health,depression,cognitive function,memory,verbal episodic memory,longitudinal cohort study,success
"2016 - jump, hop, or skip modeling practice effects in studies of determinants of cognitive change in older adults.pdf","Jump, Hop, or Skip: Modeling Practice Effects in Studies of Determinants of Cognitive Change in Older Adults",psychosocial,mental health,depression,cognitive function,language,semantic verbal fluency,longitudinal cohort study,success
2014 - occupational determinants of cumulative lead exposure analysis of bone lead among men in the VA Normative Aging Study.pdf,Occupational Determinants of Cumulative Lead Exposure: Analysis of Bone Lead Among Men in the VA Normative Aging Study,chemical,biomarker,bone lead concentration,biomarker,chemical,patella lead concentration,cross-sectional study,success
2014 - occupational determinants of cumulative lead exposure analysis of bone lead among men in the VA Normative Aging Study.pdf,Occupational Determinants of Cumulative Lead Exposure: Analysis of Bone Lead Among Men in the VA Normative Aging Study,chemical,biomarker,bone lead concentration,biomarker,chemical,tibia lead concentration,cross-sectional study,success
"2021 - short-term air pollution, cognitive performance, and nonsteroidal anti-inflammatory drug use in the veterans affairs.pdf","Short-term air pollution, cognitive performance and nonsteroidal anti-inflammatory drug use in the Veterans Affairs Normative Aging Study",chemical,air pollution,short-term PM2.5,psychosocial,cognitive function,global cognitive function score,cohort study,success
