PMID,Title,L1_Exact,L1_Fuzzy,L1_Strategies,L1_Unmatched,L1_Precision,L1_Recall,L1_F1,L2_Exact,L2_Fuzzy,L2_Strategies,L2_Unmatched,L2_Precision,L2_Recall,L2_F1,L3_Exact,L3_Fuzzy,L3_Strategies,L3_Unmatched,L3_Precision,L3_Recall,L3_F1,Semantic_Reasoning
30826618.0,"Impacts of air pollution, temperature, and relative humidity on leukocyte distribution: An epigenetic perspective.","chemical, physical",,,,,,,air pollution,,,,,,,"short-term PM2.5 mass, short-term PM2.5 elemental components, short-term black carbon, intermediate-term PM2.5 mass, intermediate-term PM2.5 elemental components, intermediate-term black carbon",,,,,,,"The exposures in this paper primarily fall under the chemical and physical categories, with a focus on air pollution including specific components such as PM2.5 mass, elemental components, and black carbon over short and intermediate terms."
28284819.0,Associations between long-term exposure to PM(2.5) component species and blood DNA methylation age in the elderly: The VA normative aging study.,chemical,,,,,,,air pollution,,,,,,,,short-term PM2.5 elemental components (0.88),partial_word,,,,,"The exposure terms in the paper fall under the chemical category, specifically related to air pollution which includes long-term exposure to PM(2.5) component species."
33549618.0,Associations between PM(2.5) metal components and QT interval length in the Normative Aging Study.,chemical,,,,,,,air pollution,,,,,,,,"short-term PM2.5 elemental components (0.94), leukocyte telomere length (0.88)","fuzzy_standard, partial_word",,,,,"The exposure terms in the paper fall under the chemical category, specifically related to air pollution, with a focus on short-term PM2.5 metal components and their association with QT interval length."
23370289.0,Cumulative lead exposure in community-dwelling adults and fine motor function: comparing standard and novel tasks in the VA normative aging study.,"chemical, biomarker",,,,,,,"blood lead, toenail metals",,,,,,,blood lead,,,,,,,"The exposure terms in the paper mainly fall under the chemical and biomarker categories, with specific focus on blood lead levels as a biomarker of cumulative lead exposure."
33027507.0,Associations of Plasma Folate and Vitamin B6 With Blood DNA Methylation Age: An Analysis of One-Carbon Metabolites in the VA Normative Aging Study.,biomarker,,,metabolites,,,,,metabolites (0.95),contains,,,,,,,,,,,,"Plasma folate and vitamin B6 are biomarkers related to one-carbon metabolites, which are classified under the broader categories of biomarker and metabolites."
34713707.0,Solar Activity Is Associated With Diastolic and Systolic Blood Pressure in Elderly Adults.,physical,,,,,,,solar and geomagnetic activity,,,,,,,"interplanetary magnetic field, sunspot number",,,,,,,"The exposure terms in the paper are related to solar and geomagnetic activity, which fall under the physical category in Layer 1. Specifically, the paper discusses the interplanetary magnetic field and sunspot number as exposures affecting blood pressure in elderly adults."
23603705.0,Lead exposure and fear-potentiated startle in the VA Normative Aging Study: a pilot study of a novel physiological approach to investigating neurotoxicant effects.,chemical,,,,,,,air pollution,,,,,,,"blood lead, toenail lead",,,,,,,"Lead exposure falls under the chemical category, specifically related to air pollution due to the presence of lead in the environment. Blood lead and toenail lead are specific biomarkers of lead exposure."
26733571.0,Psychological factors and DNA methylation of genes related to immune/inflammatory system markers: the VA Normative Aging Study.,psychosocial,,,genes,,,,"psychosocial stressors, genes",,,,,,,,"mitochondrial DNA copy number (0.88), mitochondrial DNA copy number (0.95)","partial_word, contains",,,,,"The exposures in this paper primarily fall under the categories of psychosocial and genetic factors, with specific focus on DNA methylation and mitochondrial DNA related to immune/inflammatory system markers."
27815016.0,What is unrealistic optimism?,"psychosocial, behavior",,,,,,,"psychosocial stressors, optimism, smoking, drug use, diet",,,,,,,,,,,,,,"The exposures mentioned in the paper fall under the psychosocial and behavior categories, including psychosocial stressors, optimism, smoking, drug use, and diet."
27927620.0,"Ambient Fine Particulate Matter, Outdoor Temperature, and Risk of Metabolic Syndrome.","chemical, physical",,,,,,,"air pollution, solar and geomagnetic activity",,,,,,,"short-term PM2.5 mass, short-term PM2.5 elemental components, short-term black carbon, intermediate-term PM2.5 mass, intermediate-term PM2.5 elemental components, intermediate-term black carbon, interplanetary magnetic field, sunspot number",,,,,,,"The exposures in this paper include chemical and physical factors, with specific focus on air pollution (such as PM2.5 and black carbon) and solar and geomagnetic activity (including interplanetary magnetic field and sunspot number) in relation to metabolic syndrome risk."
27927620.0,"Ambient Fine Particulate Matter, Outdoor Temperature, and Risk of Metabolic Syndrome.","chemical, physical",,,,,,,"air pollution, solar and geomagnetic activity",,,,,,,"short-term PM2.5 mass, short-term PM2.5 elemental components, short-term black carbon, intermediate-term PM2.5 mass, intermediate-term PM2.5 elemental components, intermediate-term black carbon, interplanetary magnetic field, sunspot number",,,,,,,"The exposures in this paper mainly fall under the categories of chemical and physical, with specific focus on air pollution and solar/geometric activity as the mid-level classifications. The detailed exposures include various components of PM2.5 and black carbon for different time frames, as well as"
28592514.0,A Western Diet Pattern Is Associated with Higher Concentrations of Blood and Bone Lead among Middle-Aged and Elderly Men.,"chemical, behavior",,,,,,,air pollution,,,,,,,blood lead,blood lead (0.74),fuzzy_standard,,,,,"The exposures in this paper relate to chemical exposures (lead) and behavioral exposures (Western diet pattern), with lead being a component of air pollution."
32361261.0,Individual species and cumulative mixture relationships of 24-hour urine metal concentrations with DNA methylation age variables in older men.,"chemical, biomarker",,,,,,,"urinary metals, DNAmethylation",,,,,,,,toenail lead (0.88),partial_word,,,,,"The exposures in this paper primarily fall under the chemical and biomarker categories, with specific focus on urinary metals and DNAmethylation. Toenail metals are a specific type of biomarker exposure mentioned in the study."
30317107.0,"Dietary patterns, bone lead and incident coronary heart disease among middle-aged to elderly men.","chemical, behavior",,,,,,,air pollution,,,,,,,,blood lead (0.74),fuzzy_standard,,,,,The exposure terms in the paper relate to chemical exposures (bone lead) and behavioral factors (dietary patterns) that may impact coronary heart disease.
24170714.0,Emotional Reactivity and Mortality: Longitudinal Findings From the VA Normative Aging Study.,"psychosocial, behavior",,,,,,,"psychosocial stressors, family, optimism, smoking, drug use, diet",,,,,,,,,,,,,,"The exposures in this paper primarily fall under the psychosocial and behavior categories, including psychosocial stressors, family dynamics, optimism, smoking, drug use, and diet."
22649255.0,Folate network genetic variation predicts cardiovascular disease risk in non-Hispanic white males.,"behavior, disease",,,,,,,"genes, diet, family, optimism",,,,,,,,,,,,,,"The exposures mentioned in the paper primarily fall under the behavior and disease categories, with specific focus on genetic variations, dietary factors, family influences, and optimism levels."
30608198.0,Low-Level Cumulative Lead and Resistant Hypertension: A Prospective Study of Men Participating in the Veterans Affairs Normative Aging Study.,chemical,,,,,,,air pollution,,,,,,,"patella lead, tibia lead, blood lead",,,,,,,"Lead exposure falls under the category of chemicals, specifically in the form of air pollution due to lead contamination in the environment."
26724585.0,"Long-term exposure to black carbon, cognition and single nucleotide polymorphisms in microRNA processing genes in older men.",chemical,,,,,,,air pollution,,,,,,,long-term black carbon,,,,,,,"The exposure term 'long-term black carbon' falls under the category of 'chemical' at Layer 1, specifically under 'air pollution' at Layer 2."
26724585.0,"Long-term exposure to black carbon, cognition and single nucleotide polymorphisms in microRNA processing genes in older men.","chemical, behavior",,,genes,,,,air pollution,,,,,,,,short-term black carbon (0.88),partial_word,,,,,"The exposure terms in this paper fall under the categories of chemical, behavior, and genes. Specifically, the exposure is related to long-term exposure to black carbon, which is a type of air pollution."
26791184.0,Dietary anthocyanin intake and age-related decline in lung function: longitudinal findings from the VA Normative Aging Study.,behavior,,,diet,,,,,,,,,,,,,,,,,,"The paper focuses on dietary anthocyanin intake, which falls under the behavior and diet categories in the broadest layer of exposures."
26956024.0,Ambient particulate matter and microRNAs in extracellular vesicles: a pilot study of older individuals.,chemical,,,,,,,air pollution,,,,,,,"short-term PM2.5 mass, short-term PM2.5 elemental components, short-term black carbon, intermediate-term PM2.5 mass, intermediate-term PM2.5 elemental components, intermediate-term black carbon, long-term PM2.5 elemental components, long-term PM2.5 mass",,,,,,,"The exposures mentioned in the paper are primarily related to chemical pollutants present in the air, specifically focusing on different components of particulate matter (PM) such as PM2.5 and black carbon. These exposures fall under the broader category of air pollution."
22219209.0,Openness to experience and mortality in men: analysis of trait and facets.,"psychosocial, behavior",,,,,,,"psychosocial stressors, family, optimism",,,,,,,,,,,,,,"The exposures mentioned in the paper primarily fall under the psychosocial and behavior categories, with specific mentions of psychosocial stressors, family, and optimism."
26121922.0,Cumulative lead exposure is associated with reduced olfactory recognition performance in elderly men: The Normative Aging Study.,chemical,,,,,,,,toenail metals (0.95),contains,,,,,blood lead,toenail lead (0.88),partial_word,,,,,"Lead exposure falls under the chemical category, specifically metals. Blood lead and toenail metals are specific biomarkers used to measure lead exposure."
21464364.0,Healthy psychological functioning and incident coronary heart disease: the importance of self-regulation.,"psychosocial, behavior",,,,,,,"psychosocial stressors, optimism, smoking, drug use, diet",,,,,,,,,,,,,,"The exposures mentioned in the paper fall under the psychosocial and behavior categories, including psychosocial stressors, optimism, smoking, drug use, and diet."
31277270.0,Smoking-Related DNA Methylation is Associated with DNA Methylation Phenotypic Age Acceleration: The Veterans Affairs Normative Aging Study.,"behavior, biomarker",,,,,,,"DNAmethylation, smoking",,,,,,,,"smoking (0.95), vitamin E intake (0.88)","contains, partial_word",,,,,"The exposures in this paper are related to behavioral factors (smoking) and biomarkers (DNAmethylation), specifically focusing on the association between smoking-related DNA methylation and DNA methylation phenotypic age acceleration."
31336254.0,Short-term ambient particle radioactivity level and renal function in older men: Insight from the Normative Aging Study.,chemical,,,,,,,air pollution,,,,,,,,particle radioactivity (0.95),contains,,,,,"The exposure term 'short-term ambient particle radioactivity level' falls under the category of chemical exposures, specifically air pollution."
31336254.0,Short-term ambient particle radioactivity level and renal function in older men: Insight from the Normative Aging Study.,"chemical, physical",,,,,,,air pollution,,,,,,,,particle radioactivity (0.95),contains,,,,,"The exposure term 'short-term ambient particle radioactivity level' falls under the category of chemical and specifically air pollution, as it refers to the presence of radioactive particles in the ambient environment."
29475968.0,miRNA-Processing Gene Methylation and Cancer Risk.,chemical,,,,,,,air pollution,,,,,,,,mitochondrial DNA copy number (0.88),partial_word,,,,,"The exposure term 'DNAmethylation' falls under the category of 'chemical' at layer 1, specifically related to 'air pollution' at layer 2, as it involves changes in DNA methylation potentially influenced by environmental factors like air pollution."
34252666.0,Short-term exposure to PM(2.5) components and renal health: Findings from the Veterans Affairs Normative Aging Study.,chemical,,,,,,,air pollution,,,,,,,"short-term PM2.5 mass, short-term PM2.5 elemental components, short-term black carbon",,,,,,,"The exposures in this paper primarily fall under the chemical category, specifically related to air pollution components such as PM2.5 mass, PM2.5 elemental components, and black carbon."
34252666.0,Short-term exposure to PM(2.5) components and renal health: Findings from the Veterans Affairs Normative Aging Study.,chemical,,,,,,,air pollution,,,,,,,"short-term PM2.5 mass, short-term PM2.5 elemental components, short-term black carbon",,,,,,,"The exposures in this paper primarily fall under the chemical category, specifically related to air pollution which includes components such as PM2.5 mass, PM2.5 elemental components, and black carbon."
24636503.0,Pessimistic orientation in relation to telomere length in older men: the VA normative aging study.,psychosocial,,,,,,,"psychosocial stressors, optimism",,,,,,,leukocyte telomere length,,,,,,,"The exposures in this paper focus on psychosocial factors such as stressors and optimism, which are associated with leukocyte telomere length in older men."
25627872.0,Associations between air pollution and perceived stress: the Veterans Administration Normative Aging Study.,"chemical, psychosocial",,,,,,,air pollution,,,,,,,"short-term PM2.5 mass, short-term PM2.5 elemental components, short-term black carbon",sunspot number (0.88),partial_word,,,,,"The exposures in this paper primarily fall under the chemical and psychosocial categories. The specific exposures are related to air pollution, specifically short-term PM2.5 mass, short-term PM2.5 elemental components, short-term black carbon, and particle number counts."
28351767.0,Short-term effects of air temperature and mitochondrial DNA lesions within an older population.,"physical, biomarker",,,,,,,"solar and geomagnetic activity, temperature",,,,,,,"interplanetary magnetic field, sunspot number",,,,,,,"The exposures in this paper fall under the physical and biomarker categories. Specifically, they relate to solar and geomagnetic activity and temperature, with a focus on the interplanetary magnetic field and sunspot number as specific exposures."
30419128.0,Association of Long-term Ambient Black Carbon Exposure and Oxidative Stress Allelic Variants With Intraocular Pressure in Older Men.,"chemical, physical",,,,,,,"air pollution, solar and geomagnetic activity",,,,,,,,"short-term black carbon (0.88), psychosocial stressors (0.88)","partial_word, partial_word",,,,,"The exposure terms were classified based on their nature and source, with 'long-term ambient black carbon' falling under air pollution and 'oxidative stress allelic variants' under physical exposures."
24227017.0,"Associations between short-term changes in air pollution and correlates of arterial stiffness: The Veterans Affairs Normative Aging Study, 2007-2011.","chemical, physical",,,,,,,air pollution,,,,,,,"short-term PM2.5 mass, short-term PM2.5 elemental components, short-term black carbon",,,,,,,"The exposures in this paper primarily fall under the chemical and physical categories, with a focus on air pollution specifically related to short-term PM2.5 mass, short-term PM2.5 elemental components, and short-term black carbon."
26518259.0,The effects of daily co-occurrence of affect on older adults' reactivity to health stressors.,"psychosocial, behavior",,,,,,,,,,,,,,,,,,,,,"The paper focuses on the effects of daily co-occurrence of affect on older adults' reactivity to health stressors, which are related to psychosocial and behavioral factors."
27025874.0,Metabolic Syndrome and Periodontal Disease Progression in Men.,behavior,,,,,,,,,,,,,,,,,,,,,"The paper focuses on the relationship between metabolic syndrome and periodontal disease progression in men, which falls under the behavior category in Layer 1."
24385016.0,"Air pollution and gene-specific methylation in the Normative Aging Study: association, effect modification, and mediation analysis.",chemical,,,genes,,,,air pollution,,,,,,,,mitochondrial DNA copy number (0.88),partial_word,,,,,"The exposure terms in this paper primarily fall under the chemical category, specifically related to air pollution and gene-specific methylation, which is a type of epigenetic modification."
30414594.0,Accelerated DNA methylation age and the use of antihypertensive medication among older adults.,behavior,,,,,,,psychosocial stressors,,,,,,,,mitochondrial DNA copy number (0.88),partial_word,,,,,"The exposure terms in the paper primarily fall under the behavior category, specifically related to psychosocial stressors. The specific exposure mentioned is DNAmethylation, which is a type of exposure related to DNA methylation age."
23075571.0,Alu and LINE-1 methylation and lung function in the normative ageing study.,"biomarker, psychosocial, behavior",,,,,,,"DNAmethylation, psychosocial stressors",,,,,,,,vitamin E intake (0.88),partial_word,,,,,"The exposures in this paper primarily fall under the categories of biomarker, psychosocial, and behavior. Specifically, the study focuses on Alu and LINE-1 methylation as biomarkers related to lung function."
28001123.0,Fine-scale spatial and temporal variation in temperature and arrhythmia episodes in the VA Normative Aging Study.,physical,,,,,,,"solar and geomagnetic activity, temperature",,,,,,,"interplanetary magnetic field, sunspot number",,,,,,,"The exposures in this paper primarily fall under the physical category, specifically related to solar and geomagnetic activity and temperature variations."
33413450.0,Metabolomic signatures of the long-term exposure to air pollution and temperature.,"chemical, physical",,,,,,,"air pollution, temperature",,,,,,,"long-term PM2.5 mass, long-term PM2.5 elemental components, long-term black carbon",,,,,,,"The exposures mentioned in the paper fall under the broad categories of chemical and physical exposures, with specific focus on long-term exposure to air pollution components such as PM2.5 mass, PM2.5 elemental components, and black carbon."
33413450.0,Metabolomic signatures of the long-term exposure to air pollution and temperature.,chemical,,,,,,,"air pollution, temperature",,,,,,,"long-term PM2.5 mass, long-term PM2.5 elemental components, long-term black carbon, long-term temperature",,,,,,,"The exposures mentioned in the paper fall under the broad categories of chemical (Layer 1), specifically air pollution and temperature (Layer 2), with specific exposures including long-term PM2.5 mass, long-term PM2.5 elemental components, long-term black carbon, and long-term temperature (Layer 3)."
29684737.0,Lung function association with outdoor temperature and relative humidity and its interaction with air pollution in the elderly.,"physical, chemical",,,,,,,"air pollution, temperature, relative humidity",,,,,,,short-term temperature-outdoor,,,,,,,"The exposures in this paper include physical factors such as temperature and relative humidity, as well as chemical factors related to air pollution. Specifically, the paper focuses on the interaction between lung function and outdoor temperature, with a specific mention of short-term outdoor temper"
37847102.0,Patellar Tendon Load Progression during Rehabilitation Exercises: Implications for the Treatment of Patellar Tendon Injuries.,physical,,,,,,,solar and geomagnetic activity,,,,,,,"interplanetary magnetic field, sunspot number",,,,,,,"The exposures mentioned in the paper are related to solar and geomagnetic activity, which fall under the physical category in the broadest layer of exposure classification."
37847102.0,Patellar Tendon Load Progression during Rehabilitation Exercises: Implications for the Treatment of Patellar Tendon Injuries.,physical,,,,,,,solar and geomagnetic activity,,,,,,,"interplanetary magnetic field, sunspot number",,,,,,,"The exposures in this paper mainly fall under the physical category, specifically related to solar and geomagnetic activity."
33580791.0,Associations between acute and long-term exposure to PM2.5 components and temperature with QT interval length in the VA Normative Aging Study.,"chemical, physical",,,,,,,"air pollution, temperature",,,,,,,"short-term PM2.5 mass, short-term PM2.5 elemental components, short-term black carbon, intermediate-term PM2.5 mass, intermediate-term PM2.5 elemental components, intermediate-term black carbon",,,,,,,"The exposures in this paper primarily fall under the chemical and physical categories, with specific focus on air pollution components such as PM2.5 mass, PM2.5 elemental components, and black carbon, as well as temperature."
33580791.0,Associations between acute and long-term exposure to PM2.5 components and temperature with QT interval length in the VA Normative Aging Study.,"chemical, physical",,,,,,,"air pollution, temperature",,,,,,,"short-term PM2.5 mass, short-term PM2.5 elemental components, short-term black carbon, intermediate-term PM2.5 mass, intermediate-term PM2.5 elemental components, intermediate-term black carbon",,,,,,,"The exposures mentioned in the paper can be classified into chemical and physical categories. Specifically, they fall under air pollution and temperature as the mid-level categories, with detailed exposures related to PM2.5 mass, PM2.5 elemental components, and black carbon for both short-term and i"
32561690.0,Biomarkers of aging and lung function in the normative aging study.,"chemical, biomarker",,,,,,,air pollution,,,physical,,,,mitochondrial DNA copy number,"mitochondrial DNA copy number (0.88), leukocyte telomere length (0.95)","partial_word, contains",,,,,"The exposures in this paper include chemical and biomarker categories. Specifically, the chemical exposures fall under air pollution, while the biomarker exposures include DNAmethylation, telomere length, and mitochondrial DNA copy number."
22316111.0,High-fiber foods reduce periodontal disease progression in men aged 65 and older: the Veterans Affairs normative aging study/Dental Longitudinal Study.,behavior,,,,,,,,,,,,,,,,,,,,,"The paper does not mention specific exposures related to environmental health science. The only exposure mentioned is related to behavior, specifically high-fiber foods consumption."
27391696.0,Cognitive function and short-term exposure to residential air temperature: A repeated measures study based on spatiotemporal estimates of temperature.,physical,,,,,,,temperature,,,,,,,short-term temperature-outdoor,,,,,,,"The exposure terms in the paper relate to physical factors, specifically temperature, which falls under the broader category of physical exposures in Layer 1."
25238150.0,Associations between changes in city and address specific temperature and QT interval--the VA Normative Aging Study.,physical,,,,,,,temperature,,,,,,,,"short-term temperature (0.88), short-term temperature (0.88)","partial_word, partial_word",,,,,"The exposures in this paper fall under the physical category, specifically related to temperature variations."
34841262.0,"Short-term air pollution, cognitive performance, and nonsteroidal anti-inflammatory drug use in the Veterans Affairs Normative Aging Study.",chemical,,,,,,,air pollution,,,,,,,"short-term PM2.5 mass, short-term PM2.5 elemental components, short-term black carbon",,,,,,,"The exposures mentioned in the paper are related to air pollution, which falls under the category of chemical exposures in Layer 1. The specific exposures mentioned include short-term PM2.5 mass, short-term PM2.5 elemental components, and short-term black carbon, which are all specific types of chem"
27236570.0,Distributional changes in gene-specific methylation associated with temperature.,"chemical, physical",,,,,,,"air pollution, temperature",,,,,,,"short-term temperature, long-term temperature",,,,,,,"The exposures mentioned in the paper are related to changes in gene-specific methylation associated with temperature, which falls under the broader categories of chemical and physical exposures."
26721518.0,Do hassles and uplifts trajectories predict mortality? Longitudinal findings from the VA Normative Aging Study.,psychosocial,,,,,,,,psychosocial stressors (0.95),contains,,,,,,"hassles and uplifts (0.95), hassles and uplifts (0.95)","contains, contains",,,,,"The exposures in this paper fall under the psychosocial category, specifically related to stress, hassles, and uplifts."
24145859.0,Self-reported sleep and β-amyloid deposition in community-dwelling older adults.,physical,,,,,,,solar and geomagnetic activity,,,,,,,"interplanetary magnetic field, sunspot number",,,,,,,"The exposures in this paper primarily fall under the physical category, specifically related to solar and geomagnetic activity such as interplanetary magnetic field and sunspot number."
22207354.0,Aging and epigenetics: longitudinal changes in gene-specific DNA methylation.,"chemical, psychosocial, behavior",,,,,,,"air pollution, solar and geomagnetic activity",,,,,,,"leukocyte telomere length, interplanetary magnetic field, sunspot number","mitochondrial DNA copy number (0.88), mitochondrial DNA copy number (0.95)","partial_word, contains",,,,,"The exposures mentioned in the paper fall under the broad categories of chemical, psychosocial, and behavior. Specifically, they can be classified into air pollution and solar and geomagnetic activity at a mid-level, and DNAmethylation, mitochondrial DNA, leukocyte telomere length, interplanetary ma"
21600003.0,"Ambient pollutants, polymorphisms associated with microRNA processing and adhesion molecules: the Normative Aging Study.","chemical, biomarker",,,,,,,air pollution,,,,,,,"short-term PM2.5 mass, short-term PM2.5 elemental components, short-term black carbon, intermediate-term PM2.5 mass, intermediate-term PM2.5 elemental components",,,,,,,"The exposures mentioned in the paper are related to air pollution, specifically particulate matter and black carbon, which fall under the chemical category. These exposures are further classified into short-term and intermediate-term categories based on the duration of exposure."
24684821.0,Chemerin levels as predictor of acute coronary events: a case-control study nested within the veterans affairs normative aging study.,chemical,,,,,,,air pollution,,,,,,,"short-term PM2.5 mass, short-term PM2.5 elemental components, short-term black carbon, intermediate-term PM2.5 mass, intermediate-term PM2.5 elemental components, intermediate-term black carbon",,,,,,,"The exposures in this paper primarily fall under the chemical category, specifically related to air pollution which includes various components such as PM2.5 mass, PM2.5 elemental components, and black carbon over short-term and intermediate-term periods."
26288820.0,Blood Telomere Length Attrition and Cancer Development in the Normative Aging Study Cohort.,"biomarker, psychosocial, behavior, disease",,,,,,,"DNAmethylation, leukocyte telomere length",,,,,,,aging clocks,,,,,,,"The exposures in this paper include biomarkers related to telomere length, psychosocial factors, behavioral factors, and diseases. Specifically, the study focuses on the relationship between blood telomere length attrition and cancer development in the Normative Aging Study Cohort, with a particular"
32009007.0,"Mitochondria and aging in older individuals: an analysis of DNA methylation age metrics, leukocyte telomere length, and mitochondrial DNA copy number in the VA normative aging study.","chemical, biomarker",,,,,,,air pollution,,,,,,,"mitochondrial DNA copy number, leukocyte telomere length",vitamin E intake (0.88),partial_word,,,,,"The exposures in this paper primarily fall under the chemical and biomarker categories. Specifically, they are related to air pollution exposures such as mitochondrial DNA copy number, leukocyte telomere length, and DNA methylation age metrics."
25715694.0,Serum tocopherol levels and vitamin E intake are associated with lung function in the normative aging study.,"chemical, behavior",,,,,,,air pollution,,,,,,,"short-term PM2.5 mass, short-term PM2.5 elemental components, short-term black carbon",,,,,,,"The exposures in this paper primarily fall under the chemical and behavior categories, with a focus on air pollution as the specific type of exposure. The detailed exposures include short-term PM2.5 mass, short-term PM2.5 elemental components, and short-term black carbon."
25715694.0,Serum tocopherol levels and vitamin E intake are associated with lung function in the normative aging study.,"chemical, behavior",,,,,,,"air pollution, diet",,,,,,,"short-term PM2.5 mass, short-term black carbon",,,,,,,The exposures in this paper include chemical factors such as air pollution (specifically short-term PM2.5 mass and short-term black carbon) and behavioral factors related to diet.
21188491.0,"Repetitive element hypomethylation in blood leukocyte DNA and cancer incidence, prevalence, and mortality in elderly individuals: the Normative Aging Study.",biomarker,,,,,,,DNAmethylation,,,,,,,,"short-term PM2.5 elemental components (0.88), vitamin E intake (0.88), vitamin E intake (0.88)","partial_word, partial_word, partial_word",,,,,"The exposures in this paper primarily fall under the biomarker category, specifically focusing on DNA methylation levels in repetitive elements such as Alu and LINE-1."
32832843.0,Age and mitochondrial DNA copy number influence the association between outdoor temperature and cognitive function: Insights from the VA Normative Aging Study.,"physical, biomarker",,,,,,,"solar and geomagnetic activity, temperature",,,,,,,"interplanetary magnetic field, sunspot number",short-term temperature (0.88),partial_word,,,,,"The exposures mentioned in the paper fall under the categories of physical and biomarker, with specific types being solar and geomagnetic activity and temperature. These exposures include interplanetary magnetic field, sunspot number, and outdoor temperature, which are relevant to the study on cogni"
